model_name,mean_test_score,std_test_score,mean_fit_time,params,rank_test_score,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__class_weight,param_tfidf__min_df,param_tfidf__ngram_range,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
linear_svc,0.8575290231593797,0.013486318377601517,0.160599422454834,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}",13,0.0340161210714533,0.032670211791992185,0.004307802950836489,0.1,balanced,1.0,"(1, 1)",0.876468453940591,0.8525035460992908,0.8686602118214548,0.8516364413864901,0.8383764625490726,0.9415215010497677,0.938885780380334,0.9371985771439713,0.9420509577660189,0.94043835681016,0.9400190346300505,0.0017777060324403596
linear_svc,0.8453726427831196,0.01571507961949008,0.5111157417297363,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",25,0.02381525001340048,0.06874737739562989,0.007491473433543233,0.1,balanced,1.0,"(1, 2)",0.8634423890472657,0.8461332087632217,0.8612837413684871,0.8330555783906102,0.8229482963460136,0.9592652862882669,0.9601555232202864,0.9599645268145287,0.9615074530255829,0.9622747305026504,0.960633503970263,0.0010959404308151439
linear_svc,0.8538649087968253,0.010951599680668538,0.12642307281494142,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",18,0.004365616740822165,0.031050634384155274,0.0031929046713166064,0.1,balanced,2.0,"(1, 1)",0.8719056919245393,0.8511829212399433,0.858299873429695,0.8490404729734262,0.8388955844165229,0.9335624939316753,0.9327250794076817,0.9316954210029578,0.9336875559126818,0.9333524509437108,0.9330046002397415,0.0007335879094606055
linear_svc,0.8487820426397829,0.011896026309115008,0.36678667068481446,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",22,0.03837569760556886,0.0559689998626709,0.0046668578131580304,0.1,balanced,2.0,"(1, 2)",0.8631544230984857,0.8508021008189168,0.8592539271235939,0.8389847787119445,0.8317149834459736,0.9433132721025901,0.9434449527780895,0.9436085142992425,0.9487922476352099,0.9445954689261596,0.9447508911482583,0.0020704572796395454
linear_svc,0.8441149327257973,0.00821651965618084,0.1311626434326172,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 1)}",26,0.00730074651095148,0.03052387237548828,0.003778169514219598,0.1,balanced,5.0,"(1, 1)",0.8534619404880248,0.8340718756824533,0.8537616357103901,0.8367926383570069,0.8424865733911119,0.9135309934923024,0.9131471553413899,0.9154295437783709,0.9184940774450605,0.92053894105396,0.9162281422222167,0.0028678319304834203
linear_svc,0.8412569541554156,0.010530958063348216,0.30910000801086424,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",28,0.02198809455575186,0.05662980079650879,0.010759175103978,0.1,balanced,5.0,"(1, 2)",0.853507606027512,0.8391658545790165,0.8532753907527613,0.8323679376651345,0.8279679817526535,0.9193173349637043,0.9239054052802733,0.9229169354363449,0.9290177228957633,0.9253922672727909,0.9241099331697752,0.003167486497545335
linear_svc,0.8732696767661837,0.016479670255172517,0.17170729637145996,"{'classifier__C': 1.0, 'classifier__class_weight': None, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1)}",8,0.01618964234913108,0.034240198135375974,0.00505643750545776,1.0,,1.0,"(1, 1)",0.8885790386285282,0.8656165377550458,0.8929695347240783,0.8718938430551871,0.8472894296680796,0.9972246690663298,0.9965102197869112,0.9968332548776926,0.9961896770262657,0.996933552205187,0.9967382745924771,0.00035684799811529325
linear_svc,0.8770833419227341,0.015465641579059374,0.6047182559967041,"{'classifier__C': 1.0, 'classifier__class_weight': None, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",3,0.041227416633469405,0.06618733406066894,0.004957307281484176,1.0,,1.0,"(1, 2)",0.8896763785168957,0.8730531418041584,0.8972521232618897,0.8727567210245887,0.8526783450061384,0.9995776189644423,0.9997036054479411,1.0,1.0,1.0,0.9998562448824767,0.00018051470888449136
linear_svc,0.8665893249777934,0.01747211869699393,0.14684634208679198,"{'classifier__C': 1.0, 'classifier__class_weight': None, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",9,0.016752869279724216,0.02931981086730957,0.004473205689311905,1.0,,2.0,"(1, 1)",0.8865203847713071,0.8578149777753665,0.8863013809047305,0.8608279123850143,0.8414819690525484,0.993176368068302,0.9942161521201816,0.9934455075431344,0.9933871195076657,0.9942803999852518,0.9937011094449071,0.0004560969223063776
linear_svc,0.8765724054008208,0.015454469126799875,0.3897887706756592,"{'classifier__C': 1.0, 'classifier__class_weight': None, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",4,0.01948045543052551,0.05516824722290039,0.003785750495452991,1.0,,2.0,"(1, 2)",0.8975683412217266,0.8813260000357185,0.8862423842123461,0.8610984714691586,0.8566268300651546,0.9988027195104331,0.9988086483758295,0.9993010387850715,0.9995771047827924,0.9989795344267361,0.9990938091761725,0.00030186995481292476
