subject,direction,rank,feature,coefficient,exact_source_name_match,dominant_source,source_dominance_ratio,possible_source_shortcut
chemistry,positive,2,calculate,2.4939933989774876,False,scibench-chemmc,0.13626134624944006,False
chemistry,positive,3,mole,2.408186301730123,False,stemez-PhysicalChemistry,0.3473220770860505,False
chemistry,positive,4,evaluate the,2.371469893563316,False,scibench-chemmc,0.8378589881565687,True
chemistry,positive,5,solution,2.336776819716012,False,stemez-Chemistry,0.20529115647535515,False
chemistry,positive,6,ph,1.9018958832208623,False,stemez-OrganicChemistry,0.3508219241147543,False
chemistry,positive,7,liquid,1.8905977434812191,False,stemez-OrganicChemistry,0.3429125315665938,False
chemistry,positive,8,gas,1.8562353895695847,False,scibench-atkins,0.24082733948220872,False
chemistry,positive,9,which one,1.8455255726863973,False,ori_mmlu-college_chemistry,0.3462760298267563,False
chemistry,positive,10,calculate the,1.8341982361887776,False,scibench-chemmc,0.15185677175176546,False
chemistry,positive,11,bond,1.800363202653916,False,scibench-quan,0.3668502860754888,False
chemistry,positive,12,ml,1.702355902250128,False,stemez-Chemistry,0.37182470056379024,False
chemistry,positive,13,acid,1.6646033125596473,False,ori_mmlu-high_school_chemistry,0.37064420045943086,False
chemistry,positive,14,concentration,1.6637123989265232,False,stemez-OrganicChemistry,0.40622768044087076,False
chemistry,positive,15,cubic,1.618666774625307,False,scibench-matter,0.3109065512603913,False
chemistry,positive,16,chemist,1.6110917983896662,False,stemez-Chemistry,0.8808319451608675,True
chemistry,positive,17,ion,1.6008137749704585,False,stemez-OrganicChemistry,0.3930773341968821,False
chemistry,positive,18,h_2,1.5801152858685663,False,stemez-PhysicalChemistry,0.5750934333846129,False
chemistry,positive,19,at 25,1.558948057401292,False,stemez-PhysicalChemistry,0.38567717873900303,False
chemistry,positive,20,chlorine,1.5324986149277553,False,stemez-OrganicChemistry,0.5684323734639569,False
chemistry,negative,1,the binding,-1.3167004648988758,False,theoremQA-Physics,0.536381056509585,False
chemistry,negative,2,atom in,-1.1077072227028408,False,ori_mmlu-college_physics,0.36244403074717074,False
chemistry,negative,3,force,-1.0491168134224247,False,scibench-fund,0.14552902062807682,False
chemistry,negative,4,charge,-1.004734195378681,False,scibench-fund,0.6922213507108332,False
chemistry,negative,5,mathrm _2,-0.995462330073708,False,scibench-thermo,0.4891980744209939,False
chemistry,negative,6,find the,-0.9794070752494152,False,scibench-diff,0.1418034435123782,False
chemistry,negative,7,298 mathrm,-0.9634175434204262,False,scibench-thermo,0.4926873466533615,False
chemistry,negative,8,bar,-0.9564404450571188,False,scibench-thermo,0.29544003082815257,False
chemistry,negative,9,numbers,-0.903928590985817,False,ori_mmlu-high_school_mathematics,0.3433428055017273,False
chemistry,negative,10,except,-0.8785948934044513,False,ori_mmlu-college_biology,0.5226380683931333,False
chemistry,negative,11,ft,-0.862124710094083,False,scibench-calculus,0.4658760105397838,False
chemistry,negative,12,solve the,-0.8612760523237004,False,ori_mmlu-elementary_mathematics,0.44195767148584525,False
